0,0,0,0,0,0,0,0,0,0,0,0,5.44409e-49,0.0376899,0.165814,0.0753668,-0.0786352,0.0416156,0.0431218,-0.180888,-0.0752103,-0.0603072,-0.132635
0,0,0,0,0,0,0,0,0,0,0,0,5.44409e-49,0.0532181,0.208256,0.0563613,-0.105389,0.0212539,0.0622176,-0.223113,-0.0543556,-0.0846755,-0.177054
0,0,0,0,0,0,0,0,0,0,0,0,6.84228e-49,0.0622101,0.23331,0.0399012,-0.113709,0.00881094,0.0693313,-0.238277,-0.0411361,-0.094811,-0.198137
0,0,0,0,0,0,0,0,0,0,0,0,6.84228e-49,0.0654145,0.249082,0.0300676,-0.115395,7.34198e-06,0.0730556,-0.243636,-0.0347187,-0.098764,-0.208511
0,0,0,0,0,0,0,0,0,0,0,0,-1.68492e-38,0.0593026,0.23154,0.0431993,-0.106567,0.014833,0.0702348,-0.232958,-0.0410419,-0.0951851,-0.202044
0,0,0,0,0,0,0,0,0,0,0,0,-1.00304e-40,0.0634092,0.246883,0.0340505,-0.109793,0.00516693,0.074096,-0.24106,-0.0349074,-0.0987118,-0.21317
0,0,0,0,0,0,0,0,0,0,0,0,1.96743e-39,0.0647298,0.255526,0.0282614,-0.111434,0.0015166,0.0771303,-0.244559,-0.0318394,-0.101428,-0.223309
0,0,0,0,0,0,0,0,0,0,0,0,-2.51344e-39,0.0646513,0.259281,0.0259386,-0.110673,0.00344328,0.0802788,-0.244507,-0.0318713,-0.104879,-0.229464
0,0,0,0,0,0,0,0,0,0,0,0,5.02116e-40,0.0640861,0.257918,0.0267389,-0.108115,0.00505298,0.0821328,-0.243213,-0.0333573,-0.108479,-0.232976
0,0,0,0,0,0,0,0,0,0,0,0,-4.0459e-39,0.0641371,0.263571,0.0226638,-0.107933,0.00141554,0.0843985,-0.243659,-0.0323148,-0.111172,-0.238008
0,0,0,0,0,0,0,0,0,0,0,0,2.02931e-39,0.064367,0.267167,0.0185513,-0.107604,0.00280937,0.0847766,-0.244908,-0.0333842,-0.111665,-0.242961
0,0,0,0,0,0,0,0,0,0,0,0,-1.46099e-39,0.0647789,0.269741,0.0163749,-0.108203,0.00427156,0.0855347,-0.243135,-0.0343192,-0.113512,-0.244539
0,0,0,0,0,0,0,0,0,0,0,0,-7.53162e-40,0.0647794,0.270359,0.0154565,-0.108832,0.00244286,0.0860333,-0.242384,-0.0347677,-0.114743,-0.24733
0,0,0,0,0,0,0,0,0,0,0,0,-4.85866e-40,0.0653076,0.272557,0.0144288,-0.11295,-0.00172602,0.0859504,-0.242944,-0.0367189,-0.11347,-0.248197
0,0,0,0,0,0,0,0,0,0,0,0,1.74206e-40,0.0653602,0.274128,0.0144388,-0.113046,-0.00179549,0.0849498,-0.241537,-0.0361919,-0.112495,-0.250958
0,0,0,0,0,0,0,0,0,0,0,0,5.27657e-40,0.0662834,0.274417,0.013484,-0.113528,-0.00264916,0.0850687,-0.24043,-0.0365225,-0.114809,-0.25155
0,0,0,0,0,0,0,0,0,0,0,0,-3.59417e-40,0.067619,0.274274,0.0111192,-0.116703,-0.00317917,0.0844624,-0.238355,-0.0393679,-0.112679,-0.247806
0,0,0,0,0,0,0,0,0,0,0,0,-7.24948e-41,0.0676446,0.275643,0.0105167,-0.115297,-0.00277429,0.0823936,-0.236814,-0.0400761,-0.111195,-0.245993
0,0,0,0,0,0,0,0,0,0,0,0,1.48847e-40,0.0683153,0.275989,0.00958677,-0.116088,-0.00237039,0.0814323,-0.235581,-0.0404837,-0.111576,-0.2451
0,0,0,0,0,0,0,0,0,0,0,0,1.03623e-40,0.0690204,0.27501,0.00830598,-0.117928,-0.00370902,0.0806716,-0.232816,-0.0425072,-0.110517,-0.237613
0,0,0,0,0,0,0,0,0,0,0,0,-1.25384e-40,0.068501,0.274996,0.00824333,-0.119884,-0.00538037,0.0845049,-0.229211,-0.0464379,-0.115109,-0.230439
