-8.05488e-36,1.49562e-36,-9.55951e-36,4.64156e-38,0,0,0.043513,0.205602,-0.123634,1.44615,-0.266116,3.71213e-37,6.24276e-38,0.0270558,0.258668,-0.182746,1.53785,-0.407116,-5.90988e-37,7.13509e-37
-6.15193e-38,3.80094e-38,-1.47211e-36,-2.4114e-38,0,0,-0.0395974,0.330933,-0.129989,1.64249,-0.414711,4.12355e-37,7.41826e-38,-0.0431232,0.411348,-0.190445,1.76481,-0.63299,2.55368e-37,7.87417e-38
-6.83237e-36,3.79959e-36,-1.72708e-35,1.63965e-37,0,0,-0.053018,0.374537,-0.126327,1.67998,-0.487443,-5.9857e-37,2.71628e-38,-0.0511184,0.458381,-0.185038,1.81403,-0.747566,6.72889e-38,-1.52978e-38
1.06696e-36,6.02247e-37,-1.09595e-36,2.29057e-38,0,0,-0.0543825,0.388801,-0.121441,1.69131,-0.520161,-4.57511e-37,-6.09993e-38,-0.0516387,0.471663,-0.178909,1.83106,-0.80348,-1.2079e-37,1.84536e-37
-9.7664e-36,-6.09337e-36,1.24834e-35,-4.24811e-38,0,0,-0.0529043,0.354395,-0.113191,1.67119,-0.442663,8.59043e-37,-3.57261e-38,-0.0528512,0.45097,-0.176714,1.8036,-0.722518,-9.10722e-37,1.36341e-37
1.71699e-37,2.17083e-36,-1.73166e-36,3.27873e-37,0,0,-0.0643011,0.367205,-0.103412,1.67964,-0.454553,1.08474e-36,6.21552e-37,-0.0682467,0.473768,-0.159105,1.83112,-0.763219,4.77301e-37,-5.80828e-37
-2.99277e-35,-4.5673e-36,-1.39414e-35,-8.43647e-37,0,0,-0.082395,0.368526,-0.090813,1.67649,-0.430062,4.08836e-36,-4.64643e-38,-0.0766856,0.477478,-0.138542,1.83574,-0.767767,-1.64837e-36,5.82664e-37
-3.20462e-36,6.47273e-37,-1.44311e-36,-1.23758e-37,0,0,-0.107619,0.399827,-0.0611489,1.68686,-0.39787,-1.36838e-36,-2.97489e-37,-0.0799313,0.503643,-0.102023,1.83167,-0.750633,3.61407e-37,-2.84076e-37
-1.74166e-34,-1.41061e-34,-1.36885e-34,-3.29708e-36,0,0,-0.120374,0.417909,-0.0376985,1.69151,-0.377505,-3.06999e-36,1.33133e-37,-0.0923625,0.533373,-0.0681164,1.84805,-0.747196,-2.39542e-36,4.10615e-36
-4.39767e-36,2.82477e-36,-3.05355e-36,8.78328e-38,0,0,-0.127888,0.459429,-0.00794739,1.70185,-0.38758,2.22584e-36,-1.87661e-37,-0.0980254,0.559572,-0.0309942,1.85182,-0.751948,-1.97548e-36,2.02229e-37
