-6.13389e-48,-1.21564e-38,2.62658e-38,5.92625e-38,-0.719218,-0.75096,-0.455094,-1.18134,0.754186,2.86342e-39,-5.53081e-39,0,0,0,0.806035,0.737211,0.45216,1.33162,-0.933022,4.80002e-38,-2.50432e-38
-1.5314e-46,3.48634e-38,-8.94732e-39,-9.35518e-38,-0.607339,-0.761609,-0.693776,-1.41795,1.23619,-7.53173e-41,9.84223e-39,0,0,0,0.720424,0.757894,0.647072,1.58012,-1.46983,9.50199e-38,5.13639e-38
-1.20297e-46,1.13535e-38,-2.07023e-38,-4.6532e-38,-0.468382,-0.816433,-0.916615,-1.50047,1.53344,-4.73314e-39,-1.22597e-38,0,0,0,0.597937,0.804186,0.827649,1.65785,-1.78257,-2.57628e-37,9.5445e-38
8.63395e-47,3.04553e-38,-1.48248e-38,1.41547e-37,-0.362299,-0.895705,-1.10325,-1.54094,1.71843,1.14434e-39,2.64723e-39,0,0,0,0.498457,0.866383,0.977118,1.69669,-1.97297,1.5959e-37,1.072e-37
-8.57164e-47,1.09126e-38,-1.24945e-38,4.87761e-40,-0.477075,-0.816127,-0.90804,-1.48073,1.48683,9.10679e-39,-1.61405e-38,0,0,0,0.605718,0.803196,0.813925,1.64307,-1.7377,-4.66353e-38,1.05731e-37
-1.20155e-47,-2.2486e-38,-3.16364e-38,-1.64081e-37,-0.388977,-0.87355,-1.06146,-1.53198,1.66811,-1.50042e-38,-6.70309e-39,0,0,0,0.521855,0.848685,0.939588,1.68343,-1.92902,8.20135e-38,-2.46024e-38
1.61285e-46,8.41416e-38,-5.36557e-38,3.10506e-38,-0.340061,-0.918622,-1.15483,-1.55894,1.75938,4.67071e-38,6.39909e-38,0,0,0,0.471519,0.884392,1.01755,1.69769,-2.0218,-9.28019e-39,1.84942e-38
-1.50862e-47,-1.5892e-38,-9.48395e-38,5.05638e-38,-0.321346,-0.937305,-1.19398,-1.57108,1.79234,2.17881e-38,-7.541e-39,0,0,0,0.451787,0.902414,1.05325,1.69839,-2.05925,4.18103e-38,9.81462e-39
3.32267e-47,-5.76713e-38,-3.47038e-38,-1.42529e-38,-0.32556,-0.930238,-1.1852,-1.57088,1.78064,3.64138e-42,1.23931e-38,0,0,0,0.4544,0.899153,1.04992,1.69397,-2.05167,1.01561e-37,-1.01468e-37
4.36367e-49,-7.16612e-38,4.285e-38,-2.412e-38,-0.292996,-0.968254,-1.24963,-1.58846,1.84267,3.80721e-38,8.90032e-39,0,0,0,0.417915,0.93336,1.113,1.70344,-2.11885,-1.07481e-37,3.42801e-38
-3.73254e-47,-3.68311e-38,4.14696e-38,-1.18733e-37,-0.27655,-0.990662,-1.28438,-1.59733,1.87247,2.22332e-38,3.19284e-39,0,0,0,0.399159,0.953954,1.14722,1.70791,-2.15374,1.2121e-37,-3.59108e-38
1.029e-50,-4.16735e-38,-1.21201e-38,-7.47614e-40,-0.267768,-1.00302,-1.30265,-1.60318,1.88666,1.27647e-38,-1.60721e-39,0,0,0,0.388256,0.967001,1.16858,1.70967,-2.17256,1.09591e-37,-3.50044e-38
-4.87807e-47,-7.96104e-38,7.6585e-38,1.02613e-38,-0.259794,-1.01381,-1.31715,-1.60669,1.89983,5.09294e-38,2.27989e-38,0,0,0,0.37723,0.979782,1.19066,1.71121,-2.19137,9.06013e-38,-7.03729e-38
1.69439e-47,2.33363e-38,-2.39593e-38,-1.38431e-37,-0.249481,-1.03278,-1.34142,-1.6093,1.92641,4.13743e-39,-2.33978e-39,0,0,0,0.362876,0.999713,1.21755,1.71629,-2.21978,-4.5984e-38,-2.79911e-38
-2.44237e-50,1.79518e-38,3.03016e-39,-2.24077e-37,-0.243951,-1.04145,-1.35849,-1.60874,1.94186,-4.31298e-38,-2.42666e-38,0,0,0,0.357657,1.01204,1.2326,1.72191,-2.23869,3.7844e-38,-5.97034e-40
-3.86129e-47,1.12847e-37,-3.99379e-39,-1.41354e-37,-0.240072,-1.04986,-1.37209,-1.61077,1.94918,-1.46059e-38,-2.31465e-38,0,0,0,0.353131,1.02077,1.24596,1.72404,-2.2512,-1.34229e-37,-1.72617e-38
1.26761e-46,1.78671e-39,-1.30813e-38,-9.63756e-38,-0.237084,-1.0582,-1.38342,-1.61033,1.96221,1.02413e-38,1.88821e-38,0,0,0,0.348528,1.02975,1.25713,1.72473,-2.26464,-3.86268e-38,-9.00472e-39
9.93049e-47,3.74681e-38,-2.25365e-38,1.21615e-37,-0.234077,-1.06694,-1.39375,-1.61029,1.98022,-2.96388e-38,-3.04312e-38,0,0,0,0.341696,1.03771,1.2669,1.72547,-2.27985,-9.23471e-38,7.78153e-39
-9.43142e-49,-1.88091e-39,-7.6855e-38,2.54184e-38,-0.231159,-1.0722,-1.40067,-1.61182,1.99026,6.83806e-39,1.71513e-39,0,0,0,0.336392,1.04234,1.27576,1.72526,-2.28897,-1.36131e-37,-5.93374e-38
-1.44076e-48,5.96044e-39,4.106e-38,-1.15697e-38,-0.228238,-1.07669,-1.40816,-1.61338,1.99923,1.483e-38,1.40012e-38,0,0,0,0.332546,1.04738,1.28359,1.72692,-2.29642,4.62837e-38,8.0056e-38
-7.41799e-48,1.2175e-38,3.25775e-38,1.8994e-37,-0.225895,-1.08195,-1.41317,-1.61222,2.007,-2.57087e-38,-1.61724e-38,0,0,0,0.330047,1.05216,1.28982,1.72766,-2.30428,-1.59792e-37,-9.91688e-38
-5.9192e-49,-2.43098e-38,9.10706e-38,2.59317e-38,-0.22426,-1.08743,-1.41806,-1.61287,2.01412,-6.80861e-39,-1.65874e-39,0,0,0,0.327643,1.05626,1.29516,1.7281,-2.311,6.82155e-38,1.49156e-38
-5.43536e-47,-4.598e-38,8.95349e-39,2.57863e-40,-0.22312,-1.09167,-1.42105,-1.61396,2.02098,-1.03933e-38,-3.96563e-38,0,0,0,0.326672,1.05971,1.29871,1.73039,-2.31601,7.53552e-38,5.24693e-38
1.03858e-46,4.9474e-38,-1.71306e-39,2.23014e-38,-0.22026,-1.09244,-1.42538,-1.61493,2.02665,2.97301e-38,-1.89431e-38,0,0,0,0.324974,1.06205,1.30046,1.73433,-2.3235,-1.72815e-37,-5.66123e-39
-1.06264e-46,-6.67155e-39,1.84617e-38,-1.49062e-37,-0.218982,-1.09462,-1.42887,-1.61572,2.03103,1.77592e-38,-1.67922e-38,0,0,0,0.324021,1.06282,1.30271,1.7341,-2.33215,1.18907e-37,9.81618e-38
1.92609e-47,-2.53533e-39,-2.99118e-38,-2.35057e-38,-0.216515,-1.09677,-1.43265,-1.61922,2.03366,3.73883e-41,-4.8039e-39,0,0,0,0.323305,1.06321,1.3055,1.73449,-2.33632,3.71056e-39,-4.38121e-38
-5.12115e-48,-2.86475e-38,2.72785e-38,2.16505e-38,-0.215601,-1.0981,-1.43547,-1.61953,2.03701,-1.51926e-38,3.09637e-39,0,0,0,0.323746,1.06469,1.30762,1.73241,-2.3397,9.64896e-38,5.80504e-38
4.17416e-47,7.3191e-38,-2.19111e-38,8.68576e-39,-0.21475,-1.09961,-1.43683,-1.6187,2.04148,-1.98685e-39,1.61213e-38,0,0,0,0.322776,1.06622,1.30905,1.73371,-2.34134,-4.3043e-38,1.24717e-38
-1.04737e-46,-4.88594e-38,-2.18342e-38,2.44151e-37,-0.214129,-1.10134,-1.43934,-1.62071,2.04215,-2.01162e-38,5.09363e-39,0,0,0,0.321538,1.07053,1.31052,1.73207,-2.33937,-9.82787e-40,-3.15513e-38
-5.33769e-50,2.36538e-38,2.4918e-38,2.91226e-38,-0.213403,-1.10191,-1.44109,-1.62264,2.04395,-1.04979e-39,-1.04833e-38,0,0,0,0.318999,1.07108,1.3126,1.73266,-2.34,-8.19993e-38,-4.77903e-38
1.2785e-47,3.09178e-39,-6.35317e-39,-3.10312e-38,-0.213005,-1.10234,-1.44427,-1.62663,2.04162,9.76983e-39,-2.40353e-39,0,0,0,0.315934,1.07195,1.3164,1.73184,-2.33712,6.43062e-38,6.28922e-38
-3.19308e-47,4.61071e-38,-3.44763e-38,8.91128e-39,-0.219831,-1.10243,-1.43487,-1.64785,2.01242,-5.72698e-39,-1.70724e-39,0,0,0,0.30798,1.07546,1.32661,1.73914,-2.30791,3.12935e-38,6.27841e-38
-8.94165e-47,3.98012e-38,-5.97653e-39,-1.34017e-37,-0.20165,-1.07467,-1.40907,-1.67295,1.94443,-1.57964e-38,1.88122e-38,0,0,0,0.295521,1.08101,1.3357,1.74339,-2.24928,-9.0023e-39,-8.10077e-39
-5.28326e-50,1.1763e-37,1.29873e-37,-1.50339e-37,-0.185798,-1.04429,-1.39354,-1.70062,1.88585,5.2735e-40,-6.31336e-39,0,0,0,0.272449,1.0745,1.33878,1.75318,-2.16828,-8.14937e-39,-2.37666e-38
-1.63989e-46,-4.72719e-40,-1.09219e-39,2.30542e-37,-0.176103,-1.03415,-1.41031,-1.70634,1.82173,-1.03305e-38,-1.45055e-38,0,0,0,0.254572,1.04435,1.3433,1.76308,-2.09915,7.95149e-38,-7.02449e-39
4.20532e-48,3.03521e-38,-2.24817e-37,-4.36541e-38,-0.17531,-1.02695,-1.40943,-1.70806,1.78959,-1.94696e-38,-2.12624e-38,0,0,0,0.248617,1.03445,1.34684,1.76685,-2.0699,-1.24921e-37,1.11267e-37
1.39476e-47,5.41502e-38,-8.01685e-38,-1.5616e-36,-0.173042,-1.01814,-1.41285,-1.70951,1.74879,5.88733e-39,-1.19885e-37,0,0,0,0.244974,1.01915,1.3483,1.7686,-2.03364,7.49682e-37,4.63713e-38
